date,asset,funding_rate_daily
2026-05-05,ADA,0.0001
2026-05-05,AVAX,0.0001
2026-05-05,BTC,-2.49329738473e-05
2026-05-05,DOT,0.0001
2026-05-05,ETH,9.1635663424e-06
2026-05-05,LINK,0.0001
2026-05-05,NEAR,6.85669111579e-05
2026-05-05,SOL,0.0001
2026-05-05,XRP,0.0001
2026-05-06,ADA,0.00030000000000000003
2026-05-06,AVAX,0.00030000000000000003
2026-05-06,BTC,-2.58931062062e-05
2026-05-06,DOT,0.00030000000000000003
2026-05-06,ETH,0.0001757098958436
2026-05-06,LINK,0.00030000000000000003
2026-05-06,NEAR,0.00030000000000000003
2026-05-06,SOL,0.0002430364096729
2026-05-06,XRP,0.0001708087932786
2026-05-07,ADA,0.00030000000000000003
2026-05-07,AVAX,0.0002200397484542
2026-05-07,BTC,4.557374203170001e-05
2026-05-07,DOT,0.0002642501437583
2026-05-07,ETH,0.0001078878549562
2026-05-07,LINK,0.0002396234211422
2026-05-07,NEAR,0.00030000000000000003
2026-05-07,SOL,0.0001118467859289
2026-05-07,XRP,-9.45948005291e-05
2026-05-08,ADA,0.00030000000000000003
2026-05-08,AVAX,0.00030000000000000003
2026-05-08,BTC,2.95204195716e-05
2026-05-08,DOT,0.00030000000000000003
2026-05-08,ETH,0.0001778984582184
2026-05-08,LINK,0.000219843348901
2026-05-08,NEAR,0.0001803875402255
2026-05-08,SOL,0.0001298265320858
2026-05-08,XRP,-0.00014578556530409997
2026-05-09,ADA,0.00030000000000000003
2026-05-09,AVAX,0.00022029002189190002
2026-05-09,BTC,1.1170705560300008e-05
2026-05-09,DOT,0.00030000000000000003
2026-05-09,ETH,0.0002641336774683
2026-05-09,LINK,0.00013876871506300002
2026-05-09,NEAR,0.00030000000000000003
2026-05-09,SOL,-5.616477616099999e-06
2026-05-09,XRP,0.00027121731493010004
2026-05-10,ADA,0.00015217064052580002
2026-05-10,AVAX,0.00026604799175580004
2026-05-10,BTC,0.0001044114305044
2026-05-10,DOT,0.00017202740948650002
2026-05-10,ETH,0.0002418721450932
2026-05-10,LINK,0.0001016228057491
2026-05-10,NEAR,0.0002306055979583
2026-05-10,SOL,-1.40603196399e-05
