date,asset,ret,signal,mom5,cascade_p,detected_regime
2017-02-01,BTC,0.0191878990756888,-1.0,1.0,0.6081,crisis
2017-02-02,BTC,0.0230297751446804,-1.0,1.0,0.6222,crisis
2017-02-03,BTC,0.0178988402897908,1.0,1.0,0.4432,crisis
2017-02-04,BTC,0.0126127426700153,1.0,1.0,0.4546,crisis
2017-02-05,BTC,-0.0149199906314051,1.0,1.0,0.4666,crisis
2017-02-06,BTC,0.0105223771617979,1.0,1.0,0.4774,crisis
2017-02-07,BTC,0.0223473974149055,1.0,1.0,0.4892,crisis
2017-02-08,BTC,0.0016205500001782,1.0,1.0,0.499,crisis
2017-02-09,BTC,-0.0646118827113534,1.0,1.0,0.5109,crisis
2017-02-10,BTC,-0.00574123290546,-1.0,-1.0,0.5715,crisis
2017-02-11,BTC,0.0159567266837814,-1.0,-1.0,0.4588,crisis
2017-02-12,BTC,-0.0052456387770024,-1.0,-1.0,0.4695,crisis
2017-02-13,BTC,-0.0085460003804385,-1.0,-1.0,0.3386,crisis
2017-02-14,BTC,0.0140393387115844,-1.0,-1.0,0.3482,crisis
2017-02-15,BTC,0.0029167216279784,1.0,1.0,0.3572,crisis
2017-02-16,BTC,0.0198117692901582,1.0,1.0,0.367,crisis
2017-02-17,BTC,0.0182687267399392,1.0,1.0,0.3748,crisis
2017-02-18,BTC,0.0078474525328122,1.0,1.0,0.3829,crisis
2017-02-19,BTC,-0.0062119919530519,1.0,1.0,0.3922,crisis
2017-02-20,BTC,0.0306431002902907,1.0,1.0,0.4011,crisis
2017-02-21,BTC,0.0327043732274043,1.0,1.0,0.406,crisis
2017-02-22,BTC,0.001918669850659,1.0,1.0,0.4102,crisis
2017-02-23,BTC,0.0441008303630692,1.0,1.0,0.3032,crisis
2017-02-24,BTC,0.0059655128759115,1.0,1.0,0.3032,crisis
2017-02-25,BTC,-0.0254243801760767,1.0,1.0,0.3108,crisis
2017-02-26,BTC,0.0186739281628824,1.0,1.0,0.3176,crisis
2017-02-27,BTC,0.0126759527550575,1.0,1.0,0.324,crisis
2017-02-28,BTC,0.0,1.0,1.0,0.331,crisis
2017-03-01,BTC,0.0360433149595595,1.0,1.0,0.3382,crisis
2017-03-02,BTC,0.0233210713829243,1.0,1.0,0.3406,crisis
2017-03-03,BTC,0.019168496080413,1.0,1.0,0.346,crisis
2017-03-04,BTC,-0.0155608796714281,1.0,1.0,0.3467,crisis
2017-03-05,BTC,0.0095366852330762,1.0,1.0,0.3463,crisis
2017-03-06,BTC,0.004506251151827,1.0,1.0,0.4016,crisis
2017-03-07,BTC,-0.0387246676256491,1.0,1.0,0.3058,crisis
2017-03-08,BTC,-0.0601043175659766,-1.0,-1.0,0.2287,trend
2017-03-09,BTC,0.0334695567255434,-1.0,-1.0,0.2801,trend
2017-03-10,BTC,-0.0603875675192658,-1.0,-1.0,0.2744,trend
2017-03-11,BTC,0.052931788543501,-1.0,-1.0,0.3212,range
