policy,thr,abstain_rate,Sharpe,CE
WMI,0.25,1.0,0.0,0.0
ACWMI,0.25,0.1265,0.6535062996433213,0.0763990389438185
WMI,0.2863636363636364,1.0,0.0,0.0
ACWMI,0.2863636363636364,0.2955,-0.0906922184962291,-0.25516273843648296
WMI,0.32272727272727275,1.0,0.0,0.0
ACWMI,0.32272727272727275,0.449,-0.1723937463028023,-0.27223335621973765
WMI,0.3590909090909091,1.0,0.0,0.0
ACWMI,0.3590909090909091,0.623,-0.2667596664553734,-0.2065955127207536
WMI,0.3954545454545455,1.0,0.0,0.0
ACWMI,0.3954545454545455,0.8145,-1.4540283061035195,-0.33564462467918277
WMI,0.4318181818181819,1.0,0.0,0.0
ACWMI,0.4318181818181819,0.935,-1.6044993373533831,-0.15423210956405198
WMI,0.4681818181818182,1.0,0.0,0.0
ACWMI,0.4681818181818182,0.98,-1.7389632052455657,-0.0925585451201244
WMI,0.5045454545454546,1.0,0.0,0.0
ACWMI,0.5045454545454546,0.999,-1.8276497127406766,-0.009951765910399257
WMI,0.540909090909091,1.0,0.0,0.0
ACWMI,0.540909090909091,1.0,0.0,0.0
WMI,0.5772727272727274,1.0,0.0,0.0
ACWMI,0.5772727272727274,1.0,0.0,0.0
WMI,0.6136363636363638,1.0,0.0,0.0
ACWMI,0.6136363636363638,1.0,0.0,0.0
WMI,0.65,1.0,0.0,0.0
ACWMI,0.65,1.0,0.0,0.0
