asset_dropped,n_assets,n_days,mech_CE,mom_CE,dCE,mech_Sharpe,mom_Sharpe
ADA,9,200,0.0444,-0.3026,0.3469,0.587,-0.113
AVAX,9,200,0.2225,-0.0931,0.3156,0.948,0.319
BNB,9,200,0.1418,-0.2068,0.3486,0.798,0.131
BTC,9,200,0.1025,-0.2422,0.3447,0.72,0.053
DOT,9,200,0.2014,-0.1506,0.352,0.901,0.196
ETH,9,200,0.1437,-0.1852,0.3289,0.791,0.134
LINK,9,200,0.1714,-0.1624,0.3338,0.845,0.174
NEAR,9,200,0.0169,-0.2849,0.3018,0.532,-0.068
SOL,9,200,0.1199,-0.2074,0.3272,0.743,0.086
XRP,9,200,0.1338,-0.2096,0.3434,0.773,0.09
(none),10,200,0.132,-0.2019,0.3339,0.767,0.101
