date,asset,valve_open_scoped,WMI_scoped
2026-01-16,SOL,True,1.0
2026-01-22,ADA,True,1.0
2026-01-24,ETH,True,1.0
2026-01-26,SOL,True,1.0
2026-01-28,ETH,True,1.0
2026-01-30,ADA,True,1.0
2026-01-30,BTC,True,1.0
2026-01-31,AVAX,True,1.0
2026-02-02,DOT,True,1.0
2026-02-03,BTC,True,1.0
2026-02-04,NEAR,True,1.0
2026-02-05,SOL,True,1.0
2026-02-07,LINK,True,1.0
2026-02-08,BTC,True,1.0
2026-02-11,DOT,True,1.0
2026-02-13,NEAR,True,1.0
2026-02-14,BNB,True,1.0
2026-02-19,AVAX,True,1.0
2026-02-20,LINK,True,1.0
2026-02-21,AVAX,True,1.0
2026-02-21,LINK,True,1.0
2026-02-25,BTC,True,1.0
2026-02-25,DOT,True,1.0
2026-02-27,ADA,True,1.0
2026-03-01,ETH,True,1.0
2026-03-01,NEAR,True,1.0
2026-03-02,NEAR,True,1.0
2026-03-04,BTC,True,1.0
2026-03-04,SOL,True,1.0
2026-03-05,DOT,True,1.0
2026-03-05,XRP,True,1.0
2026-03-07,AVAX,True,1.0
2026-03-07,XRP,True,1.0
2026-03-08,BNB,True,1.0
2026-03-09,ADA,True,1.0
2026-03-09,NEAR,True,1.0
2026-03-11,DOT,True,1.0
2026-03-12,BNB,True,1.0
2026-03-13,DOT,True,1.0
2026-03-15,ETH,True,1.0
2026-03-16,XRP,True,1.0
2026-03-18,XRP,True,1.0
2026-03-19,NEAR,True,1.0
2026-03-21,ADA,True,1.0
2026-03-21,XRP,True,1.0
2026-03-24,AVAX,True,1.0
2026-03-24,XRP,True,1.0
2026-03-30,SOL,True,1.0
2026-04-01,DOT,True,1.0
2026-04-04,ETH,True,1.0
2026-04-08,NEAR,True,1.0
2026-04-13,LINK,True,1.0
2026-04-14,AVAX,True,1.0
2026-04-14,DOT,True,1.0
2026-04-15,XRP,True,1.0
2026-04-17,SOL,True,1.0
2026-04-17,XRP,True,1.0
2026-04-19,BTC,True,1.0
2026-04-20,BNB,True,1.0
2026-04-20,XRP,True,1.0
2026-04-21,BNB,True,1.0
2026-04-21,DOT,True,1.0
2026-04-22,NEAR,True,1.0
2026-04-23,BTC,True,1.0
2026-04-30,DOT,False,0.3359
2026-05-01,AVAX,False,0.3359
2026-05-04,ADA,False,0.1389
2026-05-06,ETH,True,1.0
2026-05-09,ADA,False,0.1389
2026-05-09,XRP,False,0.1389
2026-05-13,AVAX,False,0.1389
2026-05-13,LINK,False,0.1389
2026-05-13,NEAR,False,0.1389
2026-05-17,NEAR,False,0.1389
2026-05-19,ETH,True,1.0
2026-05-20,BNB,False,0.1389
2026-05-25,ETH,True,1.0
2026-05-30,BNB,False,0.1389
2026-06-04,XRP,False,0.1389
2026-06-06,ADA,False,0.1389
2026-06-06,LINK,False,0.1389
2026-06-08,XRP,False,0.1389
2026-06-10,AVAX,False,0.1389
2026-06-12,LINK,False,0.1389
2026-06-15,ETH,True,1.0
2026-06-15,LINK,False,0.1389
2026-06-17,BTC,True,1.0
2026-06-19,AVAX,False,0.1389
2026-06-22,XRP,False,0.1389
2026-06-26,SOL,False,0.1389
2026-06-27,SOL,False,0.1389
2026-07-01,AVAX,False,0.1389
2026-07-08,ADA,False,0.1389
2026-07-12,LINK,False,0.1389
2026-07-13,DOT,False,0.1389
2026-07-14,ETH,True,1.0
2026-07-14,SOL,False,0.1389
2026-07-20,DOT,False,0.1389
2026-07-30,AVAX,False,0.1389
2026-07-30,NEAR,False,0.1389
