year,n_days,content_ann_ret,content_Sharpe,nocontent_ann_ret,nocontent_Sharpe,momentum_Sharpe,tilt_active_share,both_tilt_on_share
2017,334,1.2976,1.379,1.2976,1.379,1.478,0.022,0.0
2018,365,2.0726,2.578,2.1252,2.639,2.328,0.721,0.071
2019,365,0.8551,1.324,0.8027,1.242,1.242,1.0,0.238
2020,366,0.5906,0.776,0.6022,0.788,0.788,1.0,0.325
2021,365,0.5466,0.675,0.4554,0.561,0.561,1.0,0.271
2022,365,-0.9111,-1.33,-0.9128,-1.316,-1.316,1.0,0.123
2023,365,-0.017,-0.042,0.1539,0.374,0.374,1.0,0.142
2024,366,0.1183,0.221,0.1622,0.302,0.302,1.0,0.205
2025,365,-0.2553,-0.505,-0.2523,-0.481,-0.481,1.0,0.268
2026,215,-0.1914,-0.389,0.0247,0.049,0.049,1.0,0.163
