asset,symbol,n_yahoo,n_exchange,n_overlap,corr,mae,median_abs_diff,source_db,source_table,exchange_start,exchange_end,status
BTC,BTC/USDT,730,120,118,0.9993,0.000434,0.000315,/workspace/database/analytics.db,merged_klines,2026-04-07,2026-08-04,ok
ETH,ETH/USDT,730,120,118,0.9996,0.000485,0.000377,/workspace/database/analytics.db,merged_klines,2026-04-07,2026-08-04,ok
SOL,SOL/USDT,730,300,299,0.9995,0.000889,0.000656,/workspace/database/analytics.db,merged_klines,2025-07-01,2026-04-26,ok
XRP,XRP/USDT,730,300,299,0.9996,0.000774,0.00058,/workspace/database/analytics.db,merged_klines,2025-07-01,2026-04-26,ok
BNB,BNB/USDT,730,300,299,0.9993,0.000742,0.000513,/workspace/database/analytics.db,merged_klines,2025-07-01,2026-04-26,ok
ADA,ADA/USDT,730,300,299,0.9995,0.000992,0.000849,/workspace/database/analytics.db,merged_klines,2025-07-01,2026-04-26,ok
AVAX,AVAX/USDT,730,300,299,0.9993,0.001142,0.00079,/workspace/database/analytics.db,merged_klines,2025-07-01,2026-04-26,ok
LINK,LINK/USDT,730,300,299,0.9994,0.001013,0.000715,/workspace/database/analytics.db,merged_klines,2025-07-01,2026-04-26,ok
DOT,DOT/USDT,730,300,299,0.9994,0.001188,0.000873,/workspace/database/analytics.db,merged_klines,2025-07-01,2026-04-26,ok
NEAR,NEAR/USDT,730,300,299,0.9994,0.001221,0.000867,/workspace/database/analytics.db,merged_klines,2025-07-01,2026-04-26,ok
